;AL;AMMC;CCP;CMP;CVLP;DLP;DMP;EB;FB;IDFP;LH;LOB;LOP;MB;MED;NOD;OG;OPTU;PAN;PCB;SDFP;SOG;SPP;VLP-D;VLP-V;VMP;al;ammc;ccp;cmp;cvlp;dlp;dmp;idfp;lh;lob;lop;mb;med;nod;og;optu;pan;sdfp;sog;spp;vlp-d;vlp-v;vmp
AL;0.00;23.32;63.42;1.00;115.97;97.93;278.07;21.69;51.09;199.32;2354.08;0.00;0.00;748.96;0.00;6.56;0.00;27.72;93.00;11.53;178.08;62.20;541.83;280.56;2.00;73.54;302.01;0.00;21.36;0.00;9.30;18.73;46.60;65.15;120.57;0.00;0.00;84.73;0.00;10.81;0.00;9.61;12.49;127.35;31.19;66.69;4.83;0.00;34.46
AMMC;35.03;0.00;96.48;149.28;964.55;65.54;237.03;4.69;15.22;27.21;112.64;46.82;10.06;30.05;149.51;3.15;6.11;0.00;8.61;1.41;50.06;229.13;145.17;243.88;49.08;255.50;8.12;526.84;76.90;95.86;929.50;3.46;132.92;42.43;19.46;2.24;0.00;8.32;66.36;0.00;11.05;0.00;4.36;10.71;110.83;22.66;223.35;60.97;236.85
CCP;15.16;98.72;0.00;99.05;334.18;56.41;842.86;30.67;151.78;192.82;54.15;217.23;19.43;50.69;246.80;10.18;9.24;50.99;38.69;38.20;170.10;135.18;240.14;269.99;16.84;551.92;4.58;70.87;1027.98;38.66;141.36;38.35;1598.94;250.83;27.49;96.93;12.16;21.35;241.29;28.20;6.24;35.47;7.22;116.09;75.56;105.27;281.75;25.65;586.82
CMP;10.41;73.94;64.92;0.00;253.52;39.41;281.94;10.66;21.24;97.90;54.80;161.88;107.32;52.67;372.13;3.00;1.00;12.43;4.45;5.61;40.85;119.98;112.80;158.45;6.69;151.22;1.41;87.39;48.86;84.43;285.02;0.00;67.14;18.48;0.00;8.46;8.49;5.83;25.77;3.73;0.00;0.00;2.00;1.00;71.41;13.46;28.01;3.46;176.67
CVLP;50.83;268.67;350.10;314.76;0.00;150.60;1250.99;59.62;172.81;459.04;211.89;365.09;395.58;125.93;991.53;34.84;21.22;105.91;32.04;11.07;185.63;343.06;441.95;884.07;138.31;645.62;5.29;236.89;612.35;162.21;1874.01;9.14;808.62;131.21;6.66;42.81;16.37;21.00;6.58;27.43;6.61;8.06;2.00;19.17;121.16;74.52;349.53;54.98;763.70
DLP;41.93;22.02;132.28;5.41;28.26;0.00;203.08;24.63;166.24;66.66;230.72;44.65;0.00;171.96;18.67;5.24;0.00;95.64;22.32;0.00;1225.27;120.31;180.80;154.20;8.63;117.54;42.61;3.46;39.74;0.00;12.73;334.28;113.73;62.49;45.26;1.00;0.00;161.13;0.00;4.65;7.07;40.33;4.73;475.04;125.62;97.67;112.67;18.71;57.24
DMP;172.55;170.98;732.27;229.42;623.56;399.53;0.00;214.15;555.41;630.83;451.17;567.75;139.60;447.94;663.03;89.81;38.04;260.40;111.73;17.04;793.64;650.12;1007.93;1040.01;53.76;1493.29;20.91;93.94;1227.42;78.70;281.12;121.41;2505.27;341.62;47.58;34.58;5.66;84.39;6.63;56.34;5.99;47.72;8.54;217.60;330.79;284.40;624.46;30.33;1389.88
EB;12.96;1.00;25.45;2.45;27.83;0.00;55.15;0.00;645.39;221.87;4.24;0.00;0.00;102.68;0.00;20.07;0.00;10.22;2.65;22.34;104.54;14.19;3.86;1.41;0.00;11.00;3.41;3.83;39.05;0.00;28.06;5.15;124.32;307.83;14.57;0.00;0.00;65.06;0.00;21.42;0.00;1.00;1.41;56.46;16.80;16.89;22.87;0.00;23.91
FB;63.41;21.94;101.75;14.78;692.01;62.78;1539.21;766.08;0.00;3725.40;26.51;25.08;0.00;220.38;4.58;63.43;1.41;39.39;6.18;15.31;759.00;118.67;120.70;127.95;1.00;165.71;16.38;34.56;117.47;14.36;767.43;72.71;2324.98;4476.65;37.43;21.25;0.00;163.15;2.00;63.38;0.00;21.98;2.00;741.07;86.25;121.31;227.41;3.73;196.19
IDFP;254.88;19.83;146.00;44.10;174.14;46.13;403.03;188.21;700.20;0.00;390.39;11.05;0.00;440.56;3.16;60.65;0.00;29.27;46.10;10.46;401.90;234.07;80.04;64.18;0.00;472.78;75.96;24.82;156.06;19.82;54.53;21.05;433.86;307.52;28.93;1.00;0.00;209.22;0.00;58.98;1.41;34.96;3.46;200.04;173.65;43.43;33.13;5.29;457.02
LH;35.88;31.38;79.90;20.31;79.95;1298.11;210.75;0.00;42.16;49.61;0.00;10.19;0.00;79.50;42.55;0.00;4.83;19.90;35.05;0.00;629.47;57.30;226.62;428.60;18.84;169.97;9.78;2.73;15.66;0.00;10.09;133.15;20.40;28.43;84.29;0.00;0.00;70.42;0.00;1.73;4.90;1.41;1.73;155.78;27.85;21.23;56.89;12.96;17.13
LOB;0.00;1.73;77.27;65.69;224.85;291.41;817.11;0.00;7.81;41.25;28.78;0.00;374.18;5.65;781.32;1.00;244.19;704.05;24.32;0.00;38.55;11.57;274.39;2044.68;18.60;438.85;0.00;0.00;28.77;7.73;48.27;0.00;64.90;14.29;0.00;134.49;44.33;0.00;21.96;0.00;35.36;0.00;0.00;0.00;0.00;0.00;103.42;20.45;82.79
LOP;0.00;0.00;2.00;19.06;564.65;0.00;81.25;0.00;0.00;2.83;0.00;1389.60;0.00;0.00;609.54;0.00;0.00;0.00;0.00;0.00;0.00;4.45;0.00;50.93;0.00;54.02;0.00;0.00;0.00;6.32;27.02;0.00;6.56;0.00;0.00;0.00;71.70;0.00;6.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.27;0.00;0.00
MB;61.41;16.42;65.66;4.41;18.28;159.83;139.29;322.27;253.57;359.59;119.48;9.92;0.00;0.00;24.00;11.84;0.00;29.87;27.55;2.45;567.73;87.04;81.15;41.29;0.00;94.48;44.66;4.41;39.30;0.00;7.47;67.73;124.95;148.24;68.80;0.00;0.00;488.88;0.00;15.35;1.41;24.08;3.00;313.61;62.01;39.73;23.95;3.74;52.97
MED;4.47;0.00;38.79;144.59;225.44;81.44;304.92;0.00;0.00;20.93;69.11;1766.67;491.04;0.00;0.00;0.00;31.52;71.23;0.00;0.00;7.07;14.80;344.80;414.03;5.32;385.83;0.00;0.00;2.00;7.14;28.12;0.00;11.25;0.00;0.00;510.58;172.57;0.00;1107.52;0.00;6.24;0.00;0.00;0.00;0.00;0.00;13.84;0.00;77.10
NOD;0.00;1.00;2.83;0.00;8.59;4.88;23.63;6.38;82.95;18.34;2.83;0.00;0.00;11.83;0.00;0.00;0.00;1.00;0.00;2.45;32.04;6.89;6.47;9.89;0.00;6.46;0.00;4.46;8.62;1.00;10.13;1.00;29.56;40.90;0.00;0.00;0.00;3.00;0.00;5.16;1.00;0.00;0.00;6.16;7.27;3.73;12.79;4.74;4.24
OG;3.46;12.81;12.52;4.00;13.24;26.48;43.63;0.00;0.00;7.75;17.70;1202.43;13.87;1.41;87.08;2.00;0.00;0.00;7.21;0.00;2.41;22.67;45.16;415.34;41.95;31.21;0.00;1.41;2.00;0.00;4.65;6.69;11.45;0.00;0.00;5.83;2.00;1.73;0.00;0.00;3.73;0.00;0.00;0.00;0.00;6.60;39.97;2.00;8.28
OPTU;1.41;2.45;112.65;9.21;20.00;36.55;117.86;7.97;70.28;33.12;3.87;78.04;0.00;11.69;1.41;1.73;0.00;0.00;0.00;0.00;139.03;11.83;28.84;23.25;0.00;111.38;1.41;0.00;57.34;0.00;4.58;46.46;111.47;49.39;7.60;0.00;0.00;21.63;0.00;4.41;0.00;126.22;0.00;80.02;1.73;26.39;20.76;0.00;70.94
PAN;120.50;7.07;77.61;2.41;47.85;104.30;211.49;1.00;5.88;33.15;242.85;18.63;0.00;51.98;2.24;0.00;0.00;2.41;0.00;0.00;71.23;69.60;276.84;242.92;2.83;61.35;28.98;4.88;5.60;1.00;14.59;3.73;4.24;11.92;16.52;0.00;0.00;6.58;0.00;0.00;2.00;0.00;8.45;15.21;18.24;14.16;7.73;3.74;3.61
PCB;1.00;0.00;57.16;0.00;214.76;1.00;498.43;62.70;245.55;1226.66;1.73;7.20;0.00;26.80;8.43;102.18;2.45;0.00;0.00;0.00;9.36;0.00;5.46;26.57;0.00;22.02;0.00;0.00;58.18;3.00;238.71;2.00;652.70;1373.19;3.97;1.41;0.00;46.04;0.00;89.00;0.00;1.73;0.00;33.74;2.45;0.00;56.17;0.00;29.79
SDFP;92.39;51.41;354.31;12.87;55.19;674.62;564.13;298.44;2118.36;431.18;95.10;153.34;0.00;748.86;23.25;41.49;2.45;180.43;45.82;0.00;0.00;551.92;298.83;160.27;0.00;406.04;121.23;12.93;269.40;3.83;19.47;377.19;761.82;304.21;85.38;0.00;0.00;937.90;0.00;67.66;0.00;161.44;16.96;1840.23;503.40;190.15;271.04;0.00;287.35
SOG;82.69;206.84;208.29;110.90;203.43;367.96;631.87;7.83;42.81;159.69;428.35;88.92;20.20;113.63;288.49;7.83;0.00;7.20;20.94;1.00;592.06;0.00;377.62;558.67;42.20;270.01;26.07;194.85;38.12;121.32;224.08;136.15;90.83;35.39;149.79;4.45;0.00;43.86;149.82;9.00;8.87;2.83;9.03;381.04;691.34;47.49;158.37;71.79;204.78
SPP;45.35;59.80;187.64;39.20;160.35;470.36;574.74;23.68;189.63;72.53;272.68;115.39;13.79;126.50;302.25;4.74;21.03;99.70;62.77;0.00;782.40;154.50;0.00;422.55;11.30;305.74;19.35;7.28;80.69;0.00;19.43;166.42;445.37;43.96;43.85;1.41;0.00;60.78;0.00;7.31;4.00;15.34;1.73;254.39;77.86;157.81;252.76;12.00;110.35
VLP-D;40.99;162.51;220.32;112.68;318.15;555.83;890.74;17.38;136.41;100.28;328.51;1203.69;198.43;74.64;464.74;15.05;259.98;238.85;73.91;0.00;567.21;409.80;509.79;0.00;451.76;572.85;1.00;51.94;121.66;21.50;169.78;221.41;609.36;48.75;14.52;12.63;4.38;14.86;2.00;8.42;21.23;6.29;1.41;102.31;116.63;187.33;833.47;79.70;251.71
VLP-V;13.86;109.15;34.19;33.47;87.92;151.97;148.57;6.61;13.97;10.57;80.01;27.52;0.00;15.98;23.39;3.87;23.85;10.43;16.20;0.00;37.59;217.61;103.38;891.13;0.00;101.37;0.00;34.16;13.43;5.40;34.90;55.37;88.67;4.90;0.00;1.41;0.00;4.47;0.00;0.00;7.10;0.00;1.41;16.02;42.09;60.28;238.92;60.66;10.59
VMP;75.92;273.65;693.27;360.55;904.00;325.47;1713.08;49.84;112.91;372.58;484.56;542.57;182.07;231.39;1056.49;24.39;13.87;123.96;54.53;12.88;456.96;511.89;770.79;919.38;29.77;0.00;14.77;245.95;1258.02;155.35;547.44;16.90;1690.81;93.47;44.18;79.30;28.62;39.78;454.86;13.98;10.90;25.45;5.39;135.27;269.76;60.42;270.80;60.69;1242.01
al;295.41;10.04;23.55;0.00;5.45;7.56;25.20;8.71;8.50;50.35;71.36;0.00;0.00;43.82;0.00;2.00;0.00;3.86;15.90;6.16;26.48;41.54;41.69;10.24;0.00;48.73;0.00;16.57;24.07;3.41;88.98;173.59;170.41;150.47;2574.13;18.25;0.00;917.51;4.24;0.00;0.00;37.61;88.24;281.61;88.66;382.15;205.83;18.85;73.66
ammc;24.47;400.61;38.98;81.06;677.47;2.83;97.07;3.41;13.14;43.24;12.20;3.74;0.00;14.56;63.18;0.00;2.24;0.00;5.24;2.41;33.85;149.24;43.70;160.29;72.20;119.12;8.43;0.00;50.06;261.28;1097.58;49.14;230.04;23.11;106.22;32.67;19.72;36.32;194.42;1.00;13.86;3.15;8.98;36.84;202.60;149.01;309.66;93.17;244.14
ccp;8.66;78.15;897.17;94.02;347.92;25.03;1222.58;47.77;152.25;546.11;16.15;176.32;21.49;24.95;129.08;27.05;3.45;37.00;7.07;56.15;99.17;100.51;78.82;134.50;7.61;625.95;24.73;103.33;0.00;67.75;368.82;61.11;804.58;340.90;83.11;163.19;27.85;64.21;410.67;3.15;20.42;48.18;26.06;222.76;114.11;223.05;400.30;60.00;536.57
cmp;13.32;113.30;27.17;158.81;265.69;0.00;75.20;2.41;15.32;13.25;0.00;6.24;2.24;3.73;2.83;2.00;0.00;0.00;3.16;3.16;12.79;140.69;20.20;32.94;9.99;113.10;4.56;114.39;65.55;0.00;434.84;53.38;438.58;147.21;130.00;91.40;128.11;61.58;260.28;7.45;2.00;10.89;11.17;53.41;157.55;202.37;344.06;19.39;258.35
cvlp;33.88;199.65;616.89;190.63;1480.68;3.41;839.50;31.46;172.97;155.16;0.00;47.07;8.83;16.03;3.00;26.16;5.98;2.83;5.28;11.38;54.17;153.00;83.32;300.12;63.88;679.84;33.62;304.46;445.02;409.08;0.00;157.92;1521.36;538.70;366.25;357.17;529.69;201.59;996.77;43.83;30.31;90.11;46.07;301.92;281.83;535.31;1219.69;102.33;977.53
dlp;51.22;0.00;50.83;9.34;12.63;281.94;109.64;37.23;363.21;44.88;37.98;2.00;0.00;72.57;34.85;2.41;2.00;75.44;3.32;7.31;365.41;53.82;81.21;76.19;6.24;31.24;51.03;9.16;84.62;10.97;26.03;0.00;186.00;65.20;273.52;17.01;0.00;182.83;0.00;6.00;1.41;57.59;22.14;1177.98;69.14;310.64;175.95;31.83;100.37
dmp;39.10;101.50;1341.13;163.82;468.74;162.44;2322.93;134.62;633.80;285.58;30.76;104.19;4.41;56.14;33.06;40.04;5.73;50.30;9.41;28.10;263.44;282.91;254.33;374.36;13.64;1344.27;136.53;230.31;897.47;312.71;902.24;404.87;0.00;656.74;435.66;430.95;139.16;445.63;695.91;75.41;58.74;206.55;70.58;817.67;588.29;940.31;1298.58;145.20;1589.02
idfp;49.93;10.81;112.47;19.92;59.05;11.27;221.95;80.34;527.83;205.58;27.10;0.00;0.00;121.72;0.00;34.43;0.00;21.11;2.45;1.41;188.39;70.21;19.30;11.97;2.00;282.68;172.34;14.59;124.33;66.63;266.71;71.88;388.97;0.00;360.08;77.00;0.00;306.58;23.62;52.92;0.00;44.11;18.24;465.98;184.31;129.37;133.23;3.24;394.55
lh;29.41;0.00;12.93;4.24;6.93;95.72;29.55;0.00;48.47;14.04;34.17;4.47;0.00;9.11;12.49;0.00;0.00;5.16;2.00;0.00;71.94;22.63;39.31;21.94;0.00;3.87;279.43;38.93;51.92;43.50;91.16;1475.45;245.35;141.79;0.00;0.00;0.00;114.85;16.34;0.00;1.00;14.84;122.27;659.38;136.09;272.95;390.17;62.62;202.25
lob;0.00;0.00;21.23;19.23;47.47;1.00;72.27;0.00;2.00;0.00;2.24;176.68;21.55;0.00;34.26;0.00;98.17;0.00;0.00;0.00;5.00;0.00;2.83;155.91;21.01;103.21;0.00;1.41;119.12;9.86;246.21;297.41;668.13;5.10;20.01;0.00;493.40;9.35;618.51;0.00;241.84;634.79;10.35;3.41;2.45;238.99;2088.56;8.94;429.41
lop;0.00;0.00;0.00;0.00;49.45;0.00;21.95;0.00;0.00;0.00;0.00;20.64;28.27;0.00;13.17;0.00;1.73;0.00;0.00;0.00;0.00;0.00;0.00;9.08;0.00;1.00;0.00;0.00;0.00;0.00;502.77;0.00;27.85;0.00;0.00;1314.40;0.00;0.00;653.77;0.00;0.00;0.00;10.00;0.00;0.00;9.38;121.63;15.81;44.11
mb;38.29;5.48;61.51;0.00;0.00;50.59;66.15;299.50;215.71;143.68;18.22;3.15;0.00;528.40;12.48;0.00;0.00;25.23;1.41;18.00;346.17;41.43;20.94;14.56;1.41;56.45;126.61;21.91;60.99;11.83;42.56;190.27;143.38;350.42;155.61;13.68;0.00;0.00;6.00;2.73;3.00;25.05;40.32;668.60;94.47;104.21;38.05;0.00;117.66
med;0.00;0.00;0.00;12.41;42.71;0.00;19.27;0.00;0.00;0.00;0.00;176.17;83.39;0.00;742.03;0.00;5.97;0.00;0.00;0.00;0.00;0.00;0.00;9.69;2.00;52.58;0.00;0.00;31.33;0.00;61.87;92.64;148.20;0.00;45.58;1919.28;437.40;30.30;0.00;0.00;56.77;49.05;0.00;20.77;0.00;224.50;241.65;0.00;364.61
nod;0.00;8.02;7.47;2.83;3.41;0.00;26.23;8.28;63.90;38.77;0.00;0.00;0.00;2.83;0.00;4.41;0.00;1.41;0.00;0.00;7.39;13.31;3.73;4.00;1.41;6.83;0.00;5.77;6.00;4.41;14.76;0.00;20.81;39.83;0.00;0.00;0.00;7.15;8.06;0.00;0.00;0.00;0.00;14.28;11.71;0.00;3.00;1.41;9.02
og;0.00;2.00;10.54;0.00;8.24;1.41;5.60;5.28;6.47;0.00;3.16;13.68;3.00;0.00;12.17;0.00;20.86;0.00;0.00;0.00;12.54;3.74;4.00;60.60;13.54;9.85;0.00;18.28;37.29;0.00;36.95;18.49;86.98;0.00;5.46;967.70;7.85;1.00;186.06;0.00;0.00;6.48;1.00;7.83;10.00;55.15;448.04;87.05;58.85
optu;0.00;0.00;50.84;0.00;5.00;19.72;57.68;8.86;68.04;61.50;0.00;1.73;0.00;26.92;0.00;2.00;0.00;130.21;0.00;7.05;117.60;0.00;19.56;8.28;0.00;41.57;0.00;2.00;98.23;16.43;42.81;29.25;128.01;22.78;6.32;36.32;0.00;31.15;1.00;3.15;0.00;0.00;0.00;145.61;2.00;14.65;26.22;0.00;139.04
pan;50.97;9.37;8.45;2.24;53.99;5.46;19.79;3.46;10.00;8.11;34.93;0.00;0.00;3.41;0.00;0.00;0.00;0.00;13.67;4.45;18.07;34.95;25.67;15.72;2.83;27.66;126.12;14.15;81.77;8.70;119.45;139.84;306.56;53.11;318.88;72.34;0.00;89.27;10.79;0.00;0.00;16.02;0.00;110.99;54.29;338.12;340.12;13.01;112.27
sdfp;83.77;9.56;249.94;17.95;42.79;156.01;420.04;204.40;1830.01;270.26;40.79;76.46;1.00;753.38;28.41;16.76;0.00;176.09;3.00;23.13;1564.06;285.72;124.85;113.82;0.00;301.52;160.21;27.80;297.76;33.61;125.26;776.60;450.53;523.65;205.13;3.41;0.00;620.48;27.31;33.28;0.00;207.12;37.00;0.00;249.39;348.86;158.52;0.00;335.34
sog;65.70;205.69;43.26;109.97;161.65;56.28;110.90;16.56;38.47;17.99;96.16;0.00;0.00;27.11;106.56;0.00;0.00;0.00;20.82;6.06;423.51;734.12;45.23;106.20;43.26;155.73;103.36;305.48;139.62;196.10;437.57;422.15;560.55;128.07;508.86;71.15;28.83;143.76;318.78;8.87;15.56;13.06;41.56;625.54;0.00;406.92;636.93;144.11;284.83
spp;11.90;5.99;103.25;28.82;60.51;165.38;470.64;24.68;215.68;36.90;18.92;26.80;0.00;32.12;44.24;3.97;0.00;28.01;0.00;2.00;231.74;53.98;181.33;113.66;1.41;127.58;126.02;48.60;219.50;63.91;174.60;575.78;610.45;149.42;259.53;119.83;24.60;143.03;215.58;6.60;25.25;89.75;80.33;742.01;167.07;0.00;496.10;53.94;392.29
