"X283L"	"X1"	"X2"	"X3"
283	"ADAR"	"ADAL"	1
283	"ADFL"	"ADAL"	1
283	"ASHL"	"ADAL"	1
283	"AVDR"	"ADAL"	2
283	"PVQL"	"ADAL"	1
283	"ADEL"	"ADAL"	1
283	"ADFL"	"ADAL"	1
283	"AIAL"	"ADAL"	1
283	"AIBL"	"ADAL"	1
283	"AIBR"	"ADAL"	2
283	"ASHL"	"ADAL"	1
283	"AVAR"	"ADAL"	2
283	"AVBL"	"ADAL"	4
283	"AVBR"	"ADAL"	2
283	"AVBR"	"ADAL"	5
283	"AVDL"	"ADAL"	1
283	"AVEL"	"ADAL"	1
283	"AVJR"	"ADAL"	5
283	"AWAL"	"ADAL"	1
283	"FLPR"	"ADAL"	1
283	"PVPL"	"ADAL"	1
283	"PVR"	"ADAL"	1
283	"RICL"	"ADAL"	1
283	"RICL"	"ADAL"	1
283	"RICR"	"ADAL"	1
283	"RIML"	"ADAL"	3
283	"RIPL"	"ADAL"	1
283	"RMGL"	"ADAL"	1
283	"SMDVR"	"ADAL"	2
283	"ADAL"	"ADAR"	1
283	"ADFR"	"ADAR"	1
283	"ASHR"	"ADAR"	1
283	"AVDL"	"ADAR"	2
283	"PVQR"	"ADAR"	1
283	"ADER"	"ADAR"	1
283	"ADFR"	"ADAR"	1
283	"AIAR"	"ADAR"	1
283	"AIBL"	"ADAR"	1
283	"AIBR"	"ADAR"	1
283	"ASHR"	"ADAR"	2
283	"AVAL"	"ADAR"	1
283	"AVBL"	"ADAR"	1
283	"AVBL"	"ADAR"	1
283	"AVBR"	"ADAR"	5
283	"AVEL"	"ADAR"	1
283	"AVJL"	"ADAR"	1
283	"AVJL"	"ADAR"	2
283	"RICL"	"ADAR"	1
283	"RICL"	"ADAR"	1
283	"RICR"	"ADAR"	1
283	"RIMR"	"ADAR"	5
283	"RIMR"	"ADAR"	1
283	"RIPR"	"ADAR"	1
283	"RIVR"	"ADAR"	1
283	"RMGR"	"ADAR"	1
283	"SMDVL"	"ADAR"	2
283	"URBR"	"ADAR"	1
283	"ADAL"	"ADEL"	1
283	"AINL"	"ADEL"	1
283	"AVKR"	"ADEL"	1
283	"ADER"	"ADEL"	1
283	"ADER"	"ADEL"	2
283	"ALA"	"ADEL"	1
283	"AVAL"	"ADEL"	2
283	"AVAR"	"ADEL"	3
283	"AVEL"	"ADEL"	1
283	"AVL"	"ADEL"	1
283	"BDUL"	"ADEL"	1
283	"BDUL"	"ADEL"	3
283	"CEPDL"	"ADEL"	1
283	"FLPL"	"ADEL"	1
283	"FLPL"	"ADEL"	1
283	"FLPL"	"ADEL"	2
283	"IL1L"	"ADEL"	1
283	"IL2L"	"ADEL"	1
283	"IL2L"	"ADEL"	1
283	"IL2L"	"ADEL"	2
283	"OLLL"	"ADEL"	1
283	"OLLL"	"ADEL"	1
283	"RIAL"	"ADEL"	1
283	"RIFL"	"ADEL"	1
283	"RIGL"	"ADEL"	2
283	"RIGL"	"ADEL"	3
283	"RIGR"	"ADEL"	3
283	"RIGR"	"ADEL"	3
