;AL;AMMC;CCP;CMP;CVLP;DLP;DMP;EB;FB;IDFP;LH;LOB;LOP;MB;MED;NOD;OG;OPTU;PAN;PCB;SDFP;SOG;SPP;VLP-D;VLP-V;VMP;al;ammc;ccp;cmp;cvlp;dlp;dmp;idfp;lh;lob;lop;mb;med;nod;og;optu;pan;sdfp;sog;spp;vlp-d;vlp-v;vmp
AL;0;23,31956596;63,42208649;1;115,9714322;97,92639479;278,0734894;21,69431294;51,09132312;199,3160526;2354,081124;0;0;748,9634865;0;6,560477932;0;27,71721963;93,0031639;11,52859672;178,0803165;62,19824235;541,8334745;280,5562007;2;73,54356108;302,0116689;0;21,36052795;0;9,30056308;18,7261622;46,6040734;65,15467045;120,5691718;0;0;84,73317188;0;10,81257084;0;9,60915353;12,48717998;127,345216;31,18847006;66,68565248;4,828427125;0;34,46181995
AMMC;35,02517923;0;96,47921619;149,2827176;964,5470502;65,53807231;237,0347879;4,69041576;15,22380969;27,20971567;112,6398914;46,8189743;10,05660613;30,04813298;149,5054204;3,14626437;6,109051324;0;8,613903746;1,414213562;50,05798961;229,1256185;145,1665098;243,8820284;49,07944343;255,4959114;8,119929747;526,8388354;76,90084072;95,86340268;929,496873;3,464101615;132,9204269;42,43404604;19,46077738;2,236067977;0;8,322473089;66,36403908;0;11,04713411;0;4,358898944;10,71268143;110,8340564;22,66023404;223,3521338;60,97208477;236,8493057
CCP;15,15587095;98,71594817;0;99,0462687;334,1767618;56,40858573;842,8646239;30,67355063;151,7842256;192,8175525;54,1513858;217,2325296;19,43152441;50,68824862;246,8029734;10,18154055;9,242640687;50,99293174;38,686393;38,19610479;170,1003795;135,1789754;240,1416023;269,9913921;16,83718235;551,9249187;4,582575695;70,8706909;1027,97662;38,66144877;141,3633712;38,35363798;1598,938223;250,8281217;27,49328357;96,9313618;12,15906692;21,34580694;241,2946578;28,19682488;6,236067977;35,46768274;7,222242534;116,0901189;75,5625915;105,2690253;281,7460684;25,65373049;586,8154058
CMP;10,41421356;73,93845217;64,91628092;0;253,5228422;39,41425117;281,9447452;10,65685425;21,23884313;97,89512567;54,79752046;161,8785327;107,32138;52,6728608;372,1339546;3;1;12,43346128;4,449489743;5,611767403;40,85418477;119,977918;112,798802;158,4475481;6,69213043;151,2168311;1,414213562;87,38877859;48,86044105;84,42779958;285,0198605;0;67,13779544;18,48414611;0;8,464101615;8,485281374;5,828427125;25,77251954;3,732050808;0;0;2;1;71,41455069;13,45945742;28,00625527;3,464101615;176,6679113
CVLP;50,83449847;268,6718705;350,1011369;314,7570861;0;150,5953804;1250,991157;59,62401906;172,8100379;459,0389913;211,8860295;365,0920682;395,5797281;125,9318532;991,5292334;34,83729062;21,21968949;105,914877;32,04034287;11,06782884;185,6302035;343,0627823;441,947885;884,0749726;138,3103785;645,6239468;5,291502622;236,8872827;612,3459207;162,2139074;1874,006059;9,141428429;808,6249209;131,2065413;6,656854249;42,8122722;16,37320313;21,00197355;6,576491223;27,4271074;6,610365985;8,062257748;2;19,17348711;121,155555;74,5150033;349,5324335;54,98257797;763,6985267
DLP;41,92664858;22,02184723;132,2806467;5,414213562;28,2611923;0;203,084945;24,63391459;166,2360253;66,66107472;230,7175563;44,65382842;0;171,9559999;18,67310054;5,242640687;0;95,63622205;22,32496858;0;1225,269854;120,3074462;180,7971448;154,1993873;8,626379275;117,5422566;42,61478081;3,464101615;39,74426976;0;12,73205081;334,278281;113,7279272;62,48611307;45,25934884;1;0;161,1307569;0;4,645751311;7,071067812;40,33453695;4,732050808;475,0385307;125,6210802;97,67285871;112,6674691;18,70828693;57,2439054
DMP;172,5469604;170,9801623;732,2661314;229,4208466;623,5556535;399,5306493;0;214,1519966;555,411613;630,8321716;451,1658578;567,7504103;139,5967487;447,9351751;663,0314296;89,81077686;38,03859866;260,3964847;111,7304541;17,03739735;793,639493;650,1171148;1007,93009;1040,010687;53,76084274;1493,288185;20,90639884;93,93870313;1227,422818;78,69748442;281,1248829;121,4068704;2505,273851;341,6230638;47,57893059;34,57740671;5,656854249;84,38720315;6,631030293;56,34439516;5,990704785;47,71574836;8,544730797;217,6008144;330,7908536;284,4046034;624,4556639;30,333289;1389,876014
EB;12,9614814;1;25,45340016;2,449489743;27,82540021;0;55,15370336;0;645,3926097;221,8669689;4,242640687;0;0;102,679977;0;20,06517239;0;10,21733218;2,645751311;22,33637495;104,53794;14,19403425;3,863703305;1,414213562;0;10,99678926;3,414213562;3,828427125;39,04805071;0;28,06050091;5,14626437;124,3206448;307,8279575;14,5661978;0;0;65,05923481;0;21,41687957;0;1;1,414213562;56,46462129;16,7969406;16,89292223;22,86647846;0;23,90501584
FB;63,40661413;21,93668299;101,7523133;14,77729466;692,0115406;62,77963151;1539,205775;766,076711;0;3725,397159;26,50869533;25,08176323;0;220,3839026;4,582575695;63,43294017;1,414213562;39,38703039;6,18154055;15,30904767;758,9977948;118,6690927;120,7032718;127,9464651;1;165,7128626;16,37742181;34,55831641;117,4704601;14,36010638;767,4263268;72,71249805;2324,982287;4476,645753;37,42640121;21,25143591;0;163,1532235;2;63,37848029;0;21,98002868;2;741,0654632;86,24624475;121,30815;227,4106465;3,732050808;196,185649
IDFP;254,8833064;19,82749408;146,0032836;44,09515275;174,1361686;46,13094325;403,0273878;188,2145944;700,1971319;0;390,3944883;11,04536102;0;440,5550277;3,16227766;60,65026105;0;29,27273423;46,09508596;10,45945742;401,9007119;234,0717535;80,03644018;64,17929006;0;472,7801371;75,95967199;24,81662663;156,0634254;19,82315749;54,53426266;21,05483526;433,8587265;307,5163018;28,92964896;1;0;209,2226282;0;58,97958513;1,414213562;34,96453862;3,464101615;200,0449797;173,6504895;43,42818523;33,12826125;5,291502622;457,0171547
LH;35,88023085;31,37992386;79,89828942;20,3056527;79,95427921;1298,111072;210,7510841;0;42,16168839;49,607752;0;10,19114713;0;79,50101063;42,5469062;0;4,828427125;19,895447;35,0510558;0;629,468768;57,30221649;226,6197649;428,6024395;18,84112042;169,9678064;9,777294663;2,732050808;15,66419455;0;10,09048089;133,1540134;20,39870068;28,43289768;84,28953177;0;0;70,42469198;0;1,732050808;4,898979486;1,414213562;1,732050808;155,7790036;27,85487119;21,22803356;56,88501501;12,9614814;17,12941663
LOB;0;1,732050808;77,2659313;65,69298474;224,8522873;291,4057004;817,1148366;0;7,810249676;41,25287956;28,78197267;0;374,1798433;5,645751311;781,3243616;1;244,1930726;704,0542106;24,32334916;0;38,55160275;11,57439382;274,3929514;2044,681695;18,60037598;438,8521561;0;0;28,76657729;7,732050808;48,27393088;0;64,89666558;14,29099037;0;134,4891747;44,33095166;0;21,96041161;0;35,36272603;0;0;0;0;0;103,4247529;20,44552314;82,78996792
LOP;0;0;2;19,05504102;564,6518625;0;81,2522681;0;0;2,828427125;0;1389,603235;0;0;609,5356155;0;0;0;0;0;0;4,449489743;0;50,9291865;0;54,02478259;0;0;0;6,32455532;27,01682955;0;6,557438524;0;0;0;71,70250965;0;6,32455532;0;0;0;0;0;0;0;9,273618495;0;0
MB;61,4107808;16,42418124;65,65676495;4,414213562;18,28385932;159,8326361;139,2922194;322,2696871;253,5730928;359,5926431;119,4773661;9,917403579;0;0;23,99686907;11,84142867;0;29,87110476;27,54834952;2,449489743;567,7283519;87,0380074;81,15391604;41,28524392;0;94,48475709;44,65570405;4,414213562;39,29944117;0;7,472135955;67,72987286;124,9505363;148,2355076;68,79907539;0;0;488,8762375;0;15,35135835;1,414213562;24,08443045;3;313,6090956;62,00531949;39,73429079;23,9517403;3,741657387;52,96507192
MED;4,472135955;0;38,79114463;144,5907299;225,4404137;81,44130265;304,9226847;0;0;20,92844954;69,11197649;1766,67076;491,0412754;0;0;0;31,52009951;71,22576882;0;0;7,071067812;14,79864859;344,8024609;414,0313215;5,31662479;385,8332062;0;0;2;7,141428429;28,11682049;0;11,25387872;0;0;510,5762814;172,571553;0;1107,519042;0;6,236067977;0;0;0;0;0;13,84030668;0;77,10063355
NOD;0;1;2,828427125;0;8,587207241;4,878315178;23,63254801;6,382332347;82,95364411;18,33826659;2,828427125;0;0;11,83041205;0;0;0;1;0;2,449489743;32,03734499;6,891439137;6,473708194;9,891439137;0;6,464101615;0;4,464101615;8,623489945;1;10,1282423;1;29,55832923;40,8970013;0;0;0;3;0;5,16227766;1;0;0;6,16227766;7,269369996;3,732050808;12,79201568;4,741657387;4,242640687
OG;3,464101615;12,81455275;12,52055755;4;13,24264069;26,4755849;43,62531983;0;0;7,745966692;17,70209811;1202,42948;13,87367098;1,414213562;87,08115643;2;0;0;7,211102551;0;2,414213562;22,673332;45,1604613;415,3435778;41,95307741;31,20793853;0;1,414213562;2;0;4,645751311;6,69213043;11,45378028;0;0;5,828427125;2;1,732050808;0;0;3,732050808;0;0;0;0;6,595754113;39,96637798;2;8,277916868
OPTU;1,414213562;2,449489743;112,6525376;9,205759002;20,00060224;36,54612345;117,8604308;7,968118785;70,28010258;33,12226735;3,872983346;78,03500419;0;11,69099517;1,414213562;1,732050808;0;0;0;0;139,0275603;11,82718272;28,84322322;23,24839406;0;111,3810782;1,414213562;0;57,33636948;0;4,576491223;46,46065846;111,4709409;49,39421511;7,595754113;0;0;21,6251184;0;4,414213562;0;126,2197977;0;80,0216503;1,732050808;26,39142473;20,75803177;0;70,94336607
PAN;120,5038711;7,071067812;77,61183661;2,414213562;47,85446022;104,2983056;211,4890242;1;5,878315178;33,14892555;242,8457215;18,62633968;0;51,98096631;2,236067977;0;0;2,414213562;0;0;71,22895889;69,60037179;276,8434674;242,9183409;2,828427125;61,34897616;28,98144843;4,878315178;5,595754113;1;14,59234391;3,732050808;4,242640687;11,9216257;16,51587898;0;0;6,576491223;0;0;2;0;8,449489743;15,21415444;18,24265897;14,15906692;7,732050808;3,741657387;3,605551275
PCB;1;0;57,16466187;0;214,7561057;1;498,425501;62,69849345;245,551706;1226,664507;1,732050808;7,196152423;0;26,80186939;8,426149773;102,1814344;2,449489743;0;0;0;9,363081101;0;5,464101615;26,57287293;0;22,0213688;0;0;58,18362297;3;238,7075914;2;652,7008096;1373,189403;3,968118785;1,414213562;0;46,04091164;0;89,00328197;0;1,732050808;0;33,74128952;2,449489743;0;56,17011014;0;29,79468169
